,Run,Event,Cluster,Bizarrice,E1,px1,py1,pz1,pt1,sigma,Prob_1,pz1_pt1
10019,166701,685099692,0,3.975520081852742,0.04623262943634189,-0.8607126064927402,0.013777270017782709,-0.2924245017068222,0.6869942076290633,-1.7309204424554308,0.006445184429200526,-0.3380132396853602
18717,166784,77248334,0,3.9745297682822867,-0.06075337084360296,-0.8042497968520241,-0.2750403191137122,0.06306636355410661,0.745376831000293,-1.596001641721776,-0.312898960905361,0.11714248429141041
5539,165617,130825746,0,3.9738773819554885,-0.019605514488806455,-0.7753466223666526,0.24035392681524534,-0.19906763010030473,0.6046095878563774,-1.6820937102648534,-0.2200445012097787,-0.23275588885346976
35757,160957,166723212,0,3.9737616648013385,-0.041051894465858184,-0.9060058222117902,-0.20294528655869154,0.03474811250012964,0.8673653101202711,-1.617081023900968,0.22308455233089536,0.0814796627127343
5577,165617,131113579,0,3.9731414043636604,-0.0778463442081785,-0.4155399582294743,0.6108365259246155,-0.010063185870998751,0.6439760275501462,-1.6011101654641822,-0.5903848910496774,0.023384306066387705
24008,163589,22689686,0,3.971767275649471,-0.06623594844368032,-0.568407407762899,-0.45903914516227273,-0.07551888689159615,0.6364464328241124,-1.6235876699307692,0.4790801096360195,-0.06345167499812152
23373,163589,19788513,0,3.968778385157366,-0.011191813593388195,-0.5158442779572194,-0.27815665012181423,0.33962312945624706,0.17281107228368758,-1.6920956620131438,-0.3160140957138111,0.6430416840180547
19220,166784,82044594,0,3.966539975211874,-0.05327999003890476,-0.882311709111905,0.20574957395682714,0.07094118855721192,0.7840197060357039,-1.6767163168517945,0.16770638158270224,0.12581510907682414
3246,165617,107774299,0,3.9660781562048344,-0.0753814465645126,-0.7680937871698112,0.31857789401572284,0.055072681422798545,0.6647559000823536,-1.6949456805220648,0.2804913926359663,0.10875937379160443
32734,160957,123651036,0,3.963837454721975,-0.009726251945717709,-0.31596433779937105,-0.2591339523039063,0.38229499951972606,-0.13109738992429476,-1.631438664313836,-0.29699869973400994,0.9371831591811132
13104,166784,29889906,0,3.9561664632635467,-0.0721532765459525,-0.2593307392607702,0.6649551541405699,-0.049136926507976575,0.6402338415827029,-1.597561085811563,-0.644482745899752,-0.02831269351425955
20674,163589,6189357,0,3.9470942810626433,-0.05792650898091505,-0.8642251648259043,-0.1572060259448407,0.0736251986158993,0.755337150750497,-1.7137127835336414,-0.19510989827846512,0.1299515501324805
7894,165617,147361011,0,3.9456516702263236,-0.07952239591799763,-0.4450408938574427,-0.5162019462153746,-0.048784677200757555,0.5970799931303437,-1.6922569838155355,0.5362209688214108,-0.030543811267461377
6460,165617,136896142,0,3.9450032100619503,-0.08101746551830574,-0.34042700093973777,-0.5719486431634924,-0.020129304110423712,0.6183573163651721,-1.7120457915755931,0.5919462674715585,0.00913142091766649
27602,163589,40211055,0,3.943860571077197,-0.06660184705638729,-0.3108691356791411,0.20473935956346265,0.33122533308904967,-0.2676589134915066,-1.6353103875712387,-0.18444360456385872,0.9430119900625522
24448,163589,24705187,0,3.943438126821652,-0.06297827047248256,-0.7979306076302866,-0.224944508928477,0.11476273120621566,0.6838060008531751,-1.611004569344211,-0.26282237993247526,0.18518905845432856
33307,160957,130944375,0,3.9402472415337444,-0.040931895458465026,-0.5539529740385819,-0.37875416020390423,-0.19325011393445415,0.47444708923651585,-1.6494529322475844,0.3988259419659337,-0.250632134448305
